Index;Element;X;Y;Z;FragmentID
1239;H;113.1710034456341;99.01183224936483;121.86803025157558;35
1240;H;114.4958299752696;100.18903207904731;121.94173274637515;35
1241;N;114.38904731338238;99.68246991700875;124.37630037547618;35
1242;C;114.46615934091373;99.64153865369605;125.81894089372143;36
1243;H;115.23875676968117;99.44306909780232;123.87849570268183;35
1244;O;112.3316681235093;102.69766506510146;117.20255009435965;35
1245;C;115.67019797760622;100.42414249023103;126.33876000662416;36
1246;H;113.53220828669465;100.05668063633576;126.20516598780827;36
1247;H;114.54478614240236;98.59704976138661;126.14256933948869;36
1248;C;115.8129720975603;100.25586424641848;127.84969403689458;36
1249;H;116.5626420781589;100.04218558197216;125.83833725760132;36
1250;H;115.55713133985876;101.47625654944473;126.07178392714573;36
1251;C;117.08892812066256;100.87360057050905;128.42164434753957;36
1252;H;114.94481834051885;100.69110525257483;128.34785962479967;36
1253;H;115.81995248003341;99.18677922215113;128.07150570870604;36
1254;C;117.05141998398555;102.39884693748826;128.50514152269042;36
1255;H;117.23523393419174;100.48219346103969;129.43044187839433;36
1256;H;117.94387368234003;100.56052782314259;127.81945875957001;36
1257;C;118.27744640166163;102.92089592367635;129.24891801950233;36
1258;H;117.00914371904345;102.83736793877851;127.50729171919515;36
1259;H;116.15752167008756;102.7084832965007;129.05118561768342;36
1260;N;118.17272874963349;104.33611886511008;129.5318487074324;36
1261;H;118.38275630955603;102.37474251699282;130.19498730560616;36
1262;H;119.18860087942464;102.76512016474548;128.66589974040832;36
1263;C;119.21948632046936;105.16303928021806;129.54061256153457;36
1264;H;117.28619575602212;104.66602961281822;129.90314161135132;36
1265;O;112.25045703964764;100.37803881898485;124.2593927185659;35
1266;C;118.91922808326801;106.5708978044394;130.01591401941718;36
1267;C;118.95835191730478;107.58280100063641;128.86731680179545;36
1268;H;117.94770846976462;106.58516812916126;130.50586402174656;36
1269;H;119.68718853844584;106.83947222851043;130.74457168314441;36
1270;C;117.82952849416866;107.3938015423369;127.85660933997774;36
1271;H;118.89608605788082;108.59011213123578;129.2862737418605;36
1272;H;119.91722128494123;107.48424169363648;128.35655136943512;36
1273;C;117.86966004196749;108.48765592836662;126.78249686370702;36
1274;H;117.92723476355484;106.41681335688043;127.37743328197986;36
1275;H;116.86613825597418;107.41737722381431;128.36802801431233;36
1276;C;116.97450762876652;108.1146725113529;125.61355774403533;36
1277;H;117.55138104377255;109.43924248892019;127.20945316566977;36
1278;H;118.89014606583551;108.58321321403756;126.40846170323803;36
1279;N;115.68233613468902;108.42773060084687;125.76762834946074;36
1280;O;120.34783909940083;104.82198071239644;129.18384154867263;36
1281;C;114.71621918728222;108.13297680912784;124.72506484762262;37
1282;H;115.42301474286143;109.13749991751908;126.44477892968729;36
1283;C;113.32672883304778;108.58538506414183;125.14417613654224;37
1284;H;115.01687390052888;108.63325406585824;123.79585565370158;37
1285;H;114.73138197179445;107.05548964074276;124.53005271728232;37
1286;C;112.30235969696457;108.33056681051879;124.04129804672453;37
1287;H;113.03603370727858;108.0503068619002;126.04979281000034;37
1288;H;113.35673455677046;109.64992909293981;125.38807831439338;37
1289;C;110.94278676260298;108.92601401949125;124.4022376125257;37
1290;H;112.66540634255433;108.76694988360288;123.10964160958935;37
1291;H;112.20603139311478;107.25375399599517;123.88795309629724;37
1292;C;109.81233510792839;108.42299341691704;123.51135988693395;37
1293;H;110.71466385285746;108.66025263503285;125.43203690613791;37
1294;H;110.9929641559395;110.01419529312102;124.34403288761754;37
1295;C;109.97295076392201;108.88145939997615;122.06619270592526;37
1296;H;109.78395759983793;107.33442875362203;123.55274945177848;37
1297;H;108.85826371712744;108.79965254920073;123.88256450233564;37
1298;N;108.8332030641306;108.50514791681344;121.26039945563646;37
1299;H;110.06674181213101;109.97263334875801;122.04251321754052;37
1300;H;110.86018026055825;108.44300658370095;121.60704890679037;37
1301;C;108.93225172077027;107.93730379469554;120.0571242117633;37
1302;H;107.92039441328998;108.68119700004645;121.66934359407988;37
1303;O;117.3975631664094;107.52776413776384;124.62395391544781;36
1304;C;107.62379367883021;107.76800483872316;119.31740339533187;37
1305;C;107.17805046189511;109.03919819083926;118.58563182412252;37
1306;H;107.77204457839129;106.98162814353715;118.57614766439288;37
1307;H;106.84469182159819;107.45663460171548;120.01422856348738;37
1308;C;106.84229344530954;110.20919682768212;119.50787952203606;37
1309;H;107.95531103799982;109.34019568977371;117.87966325682903;37
1310;H;106.283171195492;108.78317728944187;118.01454163850327;37
1311;C;105.94883720750745;111.23359359072795;118.79677145395176;37
1312;H;106.31825999611684;109.83896821486967;120.38680216567894;37
1313;H;107.76205648378337;110.69646412824437;119.83817346963016;37
1314;C;105.77860184656093;112.45677396879677;119.66977330903777;37
1315;H;106.41014203982519;111.52836931257522;117.85645902787546;37
1316;H;104.97196364637384;110.79061799125355;118.59544200434384;37
1317;N;106.63541693317374;113.44010661656661;119.40429435973205;37
1318;C;106.81756147285489;114.60811957350711;120.23730519990515;38
1319;H;107.37955610283056;113.27845093477777;118.73198062520997;37
1320;O;110.00854885451157;107.5725339070082;119.58092199704717;37
1321;C;107.98670224265035;114.37011046656642;121.19160639126945;38
1322;H;107.01724533272706;115.45956953127641;119.58490035885526;38
1323;H;105.90386178699825;114.79228282278315;120.80349725315503;38
1324;C;108.42680040581806;115.6265595145966;121.93256881354063;38
1325;H;107.68844571367214;113.60525452941725;121.91173681969838;38
1326;H;108.82214345746651;113.98474286931176;120.60788957773413;38
1327;C;109.09765802327789;116.64882608546375;121.00329385398243;38
1328;H;107.56001807551836;116.05926803023482;122.43016490537335;38
1329;H;109.13540805478324;115.32120319554171;122.70315940757793;38
1330;C;110.46600130003905;117.10098229313014;121.51039254730873;38
1331;H;109.23882356829559;116.20019722025083;120.01843304165496;38
1332;H;108.4575007435824;117.52119377908502;120.87550213930643;38
1333;C;110.38512363675544;117.88984839038102;122.81148613093134;38
1334;H;111.10220410300931;116.22806400062912;121.66728055589633;38
1335;H;110.94145692338925;117.717414072862;120.748064816222;38
1336;N;111.6997657019522;118.00488237638048;123.41464351682451;38
1337;H;109.97763639975169;118.88841929002047;122.63058638696005;38
1338;H;109.71720381089568;117.39655873142361;123.52650450004408;38
1339;C;111.89931775152291;118.5526126213944;124.61808603647576;38
1340;H;112.47945793181543;117.56228139768979;122.92859076470971;38
1341;O;104.91833700147724;112.51677310093747;120.55331727626002;37
1342;C;113.32925994474431;118.43128486236844;125.12162166288067;38
1343;C;114.14206016234179;119.7030065859435;124.85521000746928;38
1344;H;113.28769699873223;118.24464464073642;126.1951193285905;38
1345;H;113.80828782910741;117.5872217966258;124.62492758013751;38
1346;C;113.73069274085667;120.85451194867707;125.76996281982622;38
1347;H;115.20212603572136;119.48589156854582;125.00513865539949;38
1348;H;114.0039432504137;119.9941164598881;123.8108382906475;38
